Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",269.49,270.73,267.3,268.05,832944,268.05,,,,,1hr
"January 03, 2022 10:30 AM",268.07,268.09,265.91,265.95,295088,265.95,268.05,-2.1,-0.01,-0.78,1hr
"January 03, 2022 11:30 AM",265.96,266.66,265.57,266.43,216199,266.43,265.95,0.48,0.0,0.18,1hr
"January 03, 2022 12:30 PM",266.4,266.7,265.56,266.69,164981,266.69,266.43,0.26,0.0,0.1,1hr
"January 03, 2022 01:30 PM",266.67,267.91,266.45,267.78,207578,267.78,266.69,1.09,0.0,0.41,1hr
"January 03, 2022 02:30 PM",267.82,268.48,267.67,268.45,192451,268.45,267.78,0.67,0.0,0.25,1hr
"January 03, 2022 03:30 PM",268.48,269.0,268.2,268.54,345413,268.54,268.45,0.09,0.0,0.03,1hr
"January 04, 2022 09:30 AM",269.5,270.42,268.88,269.76,410387,269.76,268.54,1.22,0.0,0.45,1hr
"January 04, 2022 10:30 AM",269.98,271.15,269.98,270.76,268688,270.76,269.76,1.0,0.0,0.37,1hr
"January 04, 2022 11:30 AM",270.77,270.82,269.64,269.79,207370,269.79,270.76,-0.97,-0.0,-0.36,1hr
"January 04, 2022 12:30 PM",269.75,269.77,268.88,269.12,176164,269.12,269.79,-0.67,-0.0,-0.25,1hr
"January 04, 2022 01:30 PM",269.1,269.29,268.54,269.18,168345,269.18,269.12,0.07,0.0,0.02,1hr
"January 04, 2022 02:30 PM",269.26,269.52,268.71,268.71,203922,268.71,269.18,-0.48,-0.0,-0.18,1hr
"January 04, 2022 03:30 PM",268.73,269.13,268.27,268.48,347633,268.48,268.71,-0.23,-0.0,-0.09,1hr
"January 05, 2022 09:30 AM",269.3,270.28,267.12,268.51,351019,268.51,268.48,0.03,0.0,0.01,1hr
"January 05, 2022 10:30 AM",268.58,268.71,267.52,268.32,213818,268.32,268.51,-0.19,-0.0,-0.07,1hr
"January 05, 2022 11:30 AM",268.32,269.35,267.72,269.26,206896,269.26,268.32,0.94,0.0,0.35,1hr
"January 05, 2022 12:30 PM",269.3,269.39,268.56,268.68,155614,268.68,269.26,-0.58,-0.0,-0.21,1hr
"January 05, 2022 01:30 PM",268.66,269.13,267.35,268.0,200833,268.0,268.68,-0.68,-0.0,-0.25,1hr
"January 05, 2022 02:30 PM",268.01,268.11,266.94,267.14,254585,267.14,268.0,-0.86,-0.0,-0.32,1hr
"January 05, 2022 03:30 PM",267.08,267.72,266.9,267.2,532730,267.2,267.14,0.07,0.0,0.02,1hr
"January 06, 2022 09:30 AM",268.12,270.76,267.8,270.5,477319,270.5,267.2,3.3,0.01,1.24,1hr
"January 06, 2022 10:30 AM",270.41,270.75,268.75,269.43,521572,269.43,270.5,-1.07,-0.0,-0.39,1hr
"January 06, 2022 11:30 AM",269.41,269.94,269.16,269.74,310511,269.74,269.43,0.3,0.0,0.11,1hr
"January 06, 2022 12:30 PM",269.83,270.11,269.53,269.58,133314,269.58,269.74,-0.16,-0.0,-0.06,1hr
"January 06, 2022 01:30 PM",269.63,270.25,269.59,269.85,162104,269.85,269.58,0.27,0.0,0.1,1hr
"January 06, 2022 02:30 PM",269.82,270.26,269.53,270.01,248364,270.01,269.85,0.16,0.0,0.06,1hr
"January 06, 2022 03:30 PM",270.02,270.14,269.27,269.71,362392,269.71,270.01,-0.3,-0.0,-0.11,1hr
"January 07, 2022 09:30 AM",268.56,270.17,268.12,270.02,297435,270.02,269.71,0.31,0.0,0.11,1hr
"January 07, 2022 10:30 AM",269.93,270.15,269.17,269.62,209417,269.62,270.02,-0.4,-0.0,-0.15,1hr
"January 07, 2022 11:30 AM",269.6,270.0,268.91,268.97,142255,268.97,269.62,-0.65,-0.0,-0.24,1hr
"January 07, 2022 12:30 PM",268.94,269.51,268.8,269.44,182793,269.44,268.97,0.47,0.0,0.17,1hr
"January 07, 2022 01:30 PM",269.38,269.42,268.23,268.43,186345,268.43,269.44,-1.01,-0.0,-0.37,1hr
"January 07, 2022 02:30 PM",268.38,268.6,267.82,267.99,280218,267.99,268.43,-0.45,-0.0,-0.17,1hr
"January 07, 2022 03:30 PM",267.95,268.07,267.0,267.06,420768,267.06,267.99,-0.93,-0.0,-0.35,1hr
"January 10, 2022 09:30 AM",266.71,266.72,262.45,262.9,665646,262.9,267.06,-4.16,-0.02,-1.56,1hr
"January 10, 2022 10:30 AM",262.91,263.84,262.01,263.55,356297,263.55,262.9,0.65,0.0,0.25,1hr
"January 10, 2022 11:30 AM",263.54,263.98,262.6,263.83,213976,263.83,263.55,0.28,0.0,0.1,1hr
"January 10, 2022 12:30 PM",263.8,264.67,263.6,264.31,217119,264.31,263.83,0.48,0.0,0.18,1hr
"January 10, 2022 01:30 PM",264.25,264.97,263.87,264.49,179063,264.49,264.31,0.18,0.0,0.07,1hr
"January 10, 2022 02:30 PM",264.51,264.66,263.42,263.89,228796,263.89,264.49,-0.6,-0.0,-0.23,1hr
