Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,1391.49,1393.67,1334.37,1349.74,234742,1349.74,,,,,1hr
2022-01-03 10:30:00,1349.08,1362.92,1340.51,1354.74,133176,1354.74,1349.74,5.0,0.0,0.37,1hr
2022-01-03 11:30:00,1354.36,1368.0,1350.01,1355.85,85268,1355.85,1354.74,1.11,0.0,0.08,1hr
2022-01-03 12:30:00,1356.18,1362.0,1347.94,1354.09,52411,1354.09,1355.85,-1.76,-0.0,-0.13,1hr
2022-01-03 13:30:00,1354.17,1363.36,1352.36,1362.59,46191,1362.59,1354.09,8.51,0.01,0.63,1hr
2022-01-03 14:30:00,1362.58,1367.71,1353.39,1367.42,70968,1367.42,1362.59,4.83,0.0,0.35,1hr
2022-01-03 15:30:00,1365.0,1367.91,1361.27,1363.51,77335,1363.51,1367.42,-3.91,-0.0,-0.29,1hr
2022-01-04 09:30:00,1356.5,1370.0,1292.45,1293.82,572486,1293.82,1363.51,-69.69,-0.05,-5.11,1hr
2022-01-04 10:30:00,1293.87,1295.91,1242.0,1252.83,621258,1252.83,1293.82,-40.99,-0.03,-3.17,1hr
2022-01-04 11:30:00,1252.2,1255.0,1233.74,1241.09,363871,1241.09,1252.83,-11.74,-0.01,-0.94,1hr
2022-01-04 12:30:00,1241.97,1241.97,1221.0,1225.6,277636,1225.6,1241.09,-15.49,-0.01,-1.25,1hr
2022-01-04 13:30:00,1224.46,1226.18,1211.24,1212.27,278941,1212.27,1225.6,-13.33,-0.01,-1.09,1hr
2022-01-04 14:30:00,1213.86,1233.46,1212.73,1232.06,416654,1232.06,1212.27,19.79,0.02,1.63,1hr
2022-01-04 15:30:00,1232.5,1237.11,1220.0,1221.05,371214,1221.05,1232.06,-11.02,-0.01,-0.89,1hr
2022-01-05 09:30:00,1213.5,1228.79,1178.4,1201.95,680585,1201.95,1221.05,-19.09,-0.02,-1.56,1hr
2022-01-05 10:30:00,1202.0,1206.34,1190.8,1197.67,211823,1197.67,1201.95,-4.28,-0.0,-0.36,1hr
2022-01-05 11:30:00,1197.02,1203.0,1192.03,1199.9,196761,1199.9,1197.67,2.23,0.0,0.19,1hr
2022-01-05 12:30:00,1199.49,1201.5,1184.08,1198.06,239801,1198.06,1199.9,-1.84,-0.0,-0.15,1hr
2022-01-05 13:30:00,1197.86,1212.27,1193.23,1201.91,223766,1201.91,1198.06,3.85,0.0,0.32,1hr
2022-01-05 14:30:00,1200.79,1206.98,1173.75,1178.08,245518,1178.08,1201.91,-23.83,-0.02,-1.98,1hr
2022-01-05 15:30:00,1177.93,1190.96,1177.58,1190.0,292616,1190.0,1178.08,11.92,0.01,1.01,1hr
2022-01-06 09:30:00,1172.44,1197.0,1138.58,1160.0,651771,1160.0,1190.0,-30.0,-0.03,-2.52,1hr
2022-01-06 10:30:00,1161.23,1194.29,1150.55,1185.72,382808,1185.72,1160.0,25.72,0.02,2.22,1hr
2022-01-06 11:30:00,1187.7,1197.76,1178.46,1191.54,169320,1191.54,1185.72,5.82,0.0,0.49,1hr
2022-01-06 12:30:00,1187.43,1189.76,1168.38,1168.38,98819,1168.38,1191.54,-23.16,-0.02,-1.94,1hr
2022-01-06 13:30:00,1168.16,1192.0,1161.95,1182.23,190701,1182.23,1168.38,13.85,0.01,1.19,1hr
2022-01-06 14:30:00,1181.66,1190.03,1176.86,1177.89,133546,1177.89,1182.23,-4.35,-0.0,-0.37,1hr
2022-01-06 15:30:00,1180.0,1181.0,1163.0,1167.85,133251,1167.85,1177.89,-10.04,-0.01,-0.85,1hr
2022-01-07 09:30:00,1169.0,1182.37,1141.66,1144.78,315085,1144.78,1167.85,-23.07,-0.02,-1.98,1hr
2022-01-07 10:30:00,1144.28,1151.64,1121.4,1139.32,319502,1139.32,1144.78,-5.46,-0.0,-0.48,1hr
2022-01-07 11:30:00,1138.49,1150.86,1135.8,1140.48,147903,1140.48,1139.32,1.16,0.0,0.1,1hr
2022-01-07 12:30:00,1140.06,1149.99,1134.07,1141.75,77227,1141.75,1140.48,1.27,0.0,0.11,1hr
2022-01-07 13:30:00,1140.41,1146.46,1128.7,1133.28,83103,1133.28,1141.75,-8.47,-0.01,-0.74,1hr
2022-01-07 14:30:00,1132.83,1147.32,1131.42,1139.41,133874,1139.41,1133.28,6.13,0.01,0.54,1hr
2022-01-07 15:30:00,1140.55,1148.0,1140.55,1144.5,180697,1144.5,1139.41,5.09,0.0,0.45,1hr
2022-01-10 09:30:00,1117.01,1119.29,1075.55,1080.03,668580,1080.03,1144.5,-64.47,-0.06,-5.63,1hr
2022-01-10 10:30:00,1077.91,1095.51,1064.02,1090.0,429503,1090.0,1080.03,9.97,0.01,0.92,1hr
2022-01-10 11:30:00,1091.0,1098.17,1069.34,1069.34,206514,1069.34,1090.0,-20.66,-0.02,-1.9,1hr
2022-01-10 12:30:00,1069.53,1105.0,1068.0,1105.0,206237,1105.0,1069.34,35.66,0.03,3.33,1hr
2022-01-10 13:30:00,1104.62,1120.67,1098.13,1119.09,199696,1119.09,1105.0,14.09,0.01,1.28,1hr
2022-01-10 14:30:00,1120.3,1124.98,1109.26,1123.0,171431,1123.0,1119.09,3.91,0.0,0.35,1hr
2022-01-10 15:30:00,1122.07,1132.58,1118.79,1132.58,197621,1132.58,1123.0,9.58,0.01,0.85,1hr
2022-01-11 09:30:00,1097.0,1150.0,1086.01,1145.54,400167,1145.54,1132.58,12.96,0.01,1.14,1hr
2022-01-11 10:30:00,1144.98,1158.39,1122.0,1155.32,188440,1155.32,1145.54,9.78,0.01,0.85,1hr
2022-01-11 11:30:00,1153.1,1157.09,1143.89,1144.34,134321,1144.34,1155.32,-10.98,-0.01,-0.95,1hr
2022-01-11 12:30:00,1145.0,1158.25,1142.88,1156.25,120643,1156.25,1144.34,11.91,0.01,1.04,1hr
2022-01-11 13:30:00,1155.95,1161.96,1151.43,1153.2,89981,1153.2,1156.25,-3.05,-0.0,-0.26,1hr
2022-01-11 14:30:00,1152.18,1165.98,1148.65,1164.46,123385,1164.46,1153.2,11.26,0.01,0.98,1hr
2022-01-11 15:30:00,1164.93,1165.54,1155.0,1157.41,173202,1157.41,1164.46,-7.05,-0.01,-0.61,1hr
2022-01-12 09:30:00,1185.16,1191.2,1165.5,1178.14,442829,1178.14,1157.41,20.73,0.02,1.79,1hr
2022-01-12 10:30:00,1178.13,1178.13,1157.0,1169.7,208103,1169.7,1178.14,-8.44,-0.01,-0.72,1hr
2022-01-12 11:30:00,1168.25,1174.1,1165.0,1172.0,85510,1172.0,1169.7,2.3,0.0,0.2,1hr
2022-01-12 12:30:00,1172.0,1175.88,1167.13,1169.28,66087,1169.28,1172.0,-2.72,-0.0,-0.23,1hr
2022-01-12 13:30:00,1168.29,1171.21,1161.57,1165.61,83556,1165.61,1169.28,-3.67,-0.0,-0.31,1hr
2022-01-12 14:30:00,1165.39,1169.48,1162.94,1168.13,113262,1168.13,1165.61,2.52,0.0,0.22,1hr
2022-01-12 15:30:00,1167.29,1170.44,1165.71,1169.61,117138,1169.61,1168.13,1.48,0.0,0.13,1hr
2022-01-13 09:30:00,1170.0,1178.05,1127.81,1135.5,274648,1135.5,1169.61,-34.11,-0.03,-2.92,1hr
2022-01-13 10:30:00,1137.71,1137.71,1097.01,1105.32,402053,1105.32,1135.5,-30.18,-0.03,-2.66,1hr
2022-01-13 11:30:00,1104.75,1106.77,1076.87,1077.9,339785,1077.9,1105.32,-27.42,-0.02,-2.48,1hr
2022-01-13 12:30:00,1077.56,1091.93,1071.25,1088.0,297114,1088.0,1077.9,10.1,0.01,0.94,1hr
2022-01-13 13:30:00,1085.13,1091.0,1077.52,1079.81,204114,1079.81,1088.0,-8.19,-0.01,-0.75,1hr
2022-01-13 14:30:00,1078.73,1078.82,1066.41,1074.42,428091,1074.42,1079.81,-5.39,-0.0,-0.5,1hr
2022-01-13 15:30:00,1074.7,1076.96,1061.5,1064.54,297447,1064.54,1074.42,-9.88,-0.01,-0.92,1hr
2022-01-14 09:30:00,1053.0,1085.98,1048.6,1069.13,486591,1069.13,1064.54,4.59,0.0,0.43,1hr
