Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"April 30, 2021",231.77,233.85,230.51,230.95,9326400,230.95,,,,,1yr,0,226.17
"May 03, 2021",231.27,236.17,230.4,230.71,13620900,230.71,230.95,-0.24,-0.0,-0.1,1yr,1,225.61
"May 04, 2021",230.25,231.48,225.45,227.9,13260500,227.9,230.71,-2.81,-0.01,-1.22,1yr,2,225.05
"May 05, 2021",228.0,229.3,226.73,226.78,10013800,226.78,227.9,-1.12,-0.0,-0.49,1yr,3,224.49
"May 06, 2021",227.11,228.44,222.88,226.42,12247700,226.42,226.78,-0.36,-0.0,-0.16,1yr,4,223.93
"May 07, 2021",227.9,228.79,225.05,225.31,10550000,225.31,226.42,-1.11,-0.0,-0.49,1yr,5,223.37
"May 10, 2021",222.87,222.87,218.56,219.53,17266700,219.53,225.31,-5.78,-0.03,-2.57,1yr,6,222.81
"May 11, 2021",213.71,221.39,213.0,221.38,13887700,221.38,219.53,1.85,0.01,0.84,1yr,7,222.25
"May 12, 2021",224.74,225.29,219.0,219.9,20366900,219.9,221.38,-1.48,-0.01,-0.67,1yr,8,221.69
"May 13, 2021",213.15,215.5,204.39,206.08,51693900,206.08,219.9,-13.82,-0.06,-6.28,1yr,9,221.13
"May 14, 2021",209.92,210.94,206.02,209.51,31626800,209.51,206.08,3.43,0.02,1.66,1yr,10,220.58
"May 17, 2021",210.62,213.15,209.44,211.05,20529800,211.05,209.51,1.54,0.01,0.74,1yr,11,220.02
"May 18, 2021",212.5,215.17,211.42,213.72,19519400,213.72,211.05,2.67,0.01,1.27,1yr,12,219.46
"May 19, 2021",211.1,212.91,210.12,212.54,17030400,212.54,213.72,-1.18,-0.01,-0.55,1yr,13,218.9
"May 20, 2021",212.99,217.63,212.63,216.99,19123400,216.99,212.54,4.45,0.02,2.09,1yr,14,218.34
"May 21, 2021",215.23,215.89,209.87,211.06,22825500,211.06,216.99,-5.93,-0.03,-2.73,1yr,15,217.78
"May 24, 2021",210.03,212.01,208.7,210.44,15884200,210.44,211.06,-0.62,-0.0,-0.29,1yr,16,217.22
"May 25, 2021",212.83,214.05,211.01,211.13,14116100,211.13,210.44,0.69,0.0,0.33,1yr,17,216.66
"May 26, 2021",212.3,213.75,211.54,211.78,9405800,211.78,211.13,0.65,0.0,0.31,1yr,18,216.1
"May 27, 2021",214.17,215.46,212.53,212.74,18680200,212.74,211.78,0.96,0.0,0.45,1yr,19,215.54
"May 28, 2021",212.76,214.53,212.06,213.96,10401500,213.96,212.74,1.22,0.01,0.57,1yr,20,214.98
"June 01, 2021",223.02,223.13,218.24,219.48,23052800,219.48,213.96,5.52,0.03,2.58,1yr,21,214.42
"June 02, 2021",219.43,219.94,217.46,219.59,13126400,219.59,219.48,0.11,0.0,0.05,1yr,22,213.87
"June 03, 2021",218.0,218.7,216.3,217.04,12448100,217.04,219.59,-2.55,-0.01,-1.16,1yr,23,213.31
"June 04, 2021",218.28,219.08,217.14,219.02,8999100,219.02,217.04,1.98,0.01,0.91,1yr,24,212.75
"June 07, 2021",218.0,218.4,215.69,216.9,9928600,216.9,219.02,-2.12,-0.01,-0.97,1yr,25,212.19
"June 08, 2021",217.29,218.23,214.74,215.82,9443000,215.82,216.9,-1.08,-0.0,-0.5,1yr,26,211.63
"June 09, 2021",215.21,216.57,213.31,213.32,10233600,213.32,215.82,-2.5,-0.01,-1.16,1yr,27,211.07
"June 10, 2021",213.5,214.8,212.21,213.07,10735900,213.07,213.32,-0.25,-0.0,-0.12,1yr,28,210.51
"June 11, 2021",213.45,213.46,211.0,211.64,12276600,211.64,213.07,-1.43,-0.01,-0.67,1yr,29,209.95
"June 14, 2021",212.25,215.16,212.24,213.94,10773100,213.94,211.64,2.3,0.01,1.09,1yr,30,209.39
"June 15, 2021",214.17,214.49,209.64,210.06,12167000,210.06,213.94,-3.88,-0.02,-1.81,1yr,31,208.83
