Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-10-07,14.34,14.95,14.31,14.89,96557500,14.74,,,,,6mo,0,19.16
2021-10-08,14.92,15.49,14.85,15.12,99468900,14.97,14.74,0.23,0.02,1.54,6mo,1,19.15
2021-10-11,15.2,15.36,14.97,15.09,45302300,14.94,14.97,-0.03,-0.0,-0.2,6mo,2,19.15
2021-10-12,15.11,15.68,15.01,15.64,89134000,15.48,14.94,0.54,0.04,3.64,6mo,3,19.14
2021-10-13,15.59,15.69,15.27,15.51,63363500,15.35,15.48,-0.13,-0.01,-0.83,6mo,4,19.13
2021-10-14,15.62,15.62,15.37,15.45,50875100,15.29,15.35,-0.06,-0.0,-0.39,6mo,5,19.13
2021-10-15,15.54,16.03,15.54,15.7,77211800,15.54,15.29,0.25,0.02,1.62,6mo,6,19.12
2021-10-18,15.57,15.65,15.49,15.56,48643800,15.4,15.54,-0.14,-0.01,-0.89,6mo,7,19.11
2021-10-19,15.6,15.69,15.37,15.42,44668300,15.26,15.4,-0.14,-0.01,-0.9,6mo,8,19.11
2021-10-20,15.43,16.16,15.37,16.04,105213700,15.88,15.26,0.61,0.04,4.02,6mo,9,19.1
2021-10-21,16.16,16.7,16.13,16.55,95855000,16.38,15.88,0.5,0.03,3.18,6mo,10,19.09
2021-10-22,16.42,16.54,16.23,16.28,60646800,16.12,16.38,-0.27,-0.02,-1.63,6mo,11,19.09
2021-10-25,16.4,16.5,15.81,16.0,67808000,15.84,16.12,-0.28,-0.02,-1.72,6mo,12,19.08
2021-10-26,16.09,16.22,15.7,15.94,64882300,15.78,15.84,-0.06,-0.0,-0.38,6mo,13,19.08
2021-10-27,15.79,15.92,15.5,15.51,96094300,15.35,15.78,-0.43,-0.03,-2.7,6mo,14,19.07
2021-10-28,16.86,17.58,16.71,16.86,215237600,16.69,15.35,1.34,0.09,8.7,6mo,15,19.06
2021-10-29,16.86,17.36,16.55,17.08,100560700,16.91,16.69,0.22,0.01,1.3,6mo,16,19.06
2021-11-01,17.5,17.97,17.07,17.95,125246500,17.77,16.91,0.86,0.05,5.09,6mo,17,19.05
2021-11-02,18.15,18.19,17.73,18.01,115146200,17.83,17.77,0.06,0.0,0.33,6mo,18,19.04
2021-11-03,17.92,18.83,17.88,18.63,104755500,18.44,17.83,0.61,0.03,3.44,6mo,19,19.04
2021-11-04,18.92,19.5,18.72,19.42,157505500,19.22,18.44,0.78,0.04,4.24,6mo,20,19.03
2021-11-05,19.71,19.72,18.99,19.29,122232200,19.1,19.22,-0.13,-0.01,-0.67,6mo,21,19.03
2021-11-08,19.4,20.42,19.24,20.15,153490400,19.95,19.1,0.85,0.04,4.46,6mo,22,19.02
2021-11-09,20.51,20.51,19.41,20.12,164928500,19.92,19.95,-0.03,-0.0,-0.15,6mo,23,19.01
2021-11-10,19.88,20.47,19.06,19.36,229109600,19.16,19.92,-0.75,-0.04,-3.78,6mo,24,19.01
2021-11-11,19.64,19.84,19.26,19.55,96436500,19.35,19.16,0.19,0.01,0.98,6mo,25,19.0
2021-11-12,19.38,19.62,19.21,19.5,77837900,19.3,19.35,-0.05,-0.0,-0.26,6mo,26,18.99
2021-11-15,19.46,19.95,19.14,19.86,84838600,19.66,19.3,0.36,0.02,1.85,6mo,27,18.99
2021-11-16,19.9,20.06,19.53,19.79,66557200,19.59,19.66,-0.07,-0.0,-0.35,6mo,28,18.98
2021-11-17,19.74,20.01,19.44,19.96,80855200,19.76,19.59,0.17,0.01,0.86,6mo,29,18.98
2021-11-18,20.16,20.26,19.36,19.56,111368800,19.46,19.76,-0.3,-0.02,-1.51,6mo,30,18.97
2021-11-19,19.64,19.67,19.24,19.39,64610400,19.29,19.46,-0.17,-0.01,-0.87,6mo,31,18.96
2021-11-22,19.39,20.79,19.31,20.48,137861700,20.38,19.29,1.08,0.06,5.62,6mo,32,18.96
2021-11-23,20.43,20.53,19.97,20.2,90984500,20.1,20.38,-0.28,-0.01,-1.37,6mo,33,18.95
2021-11-24,19.97,20.34,19.78,20.25,77324300,20.15,20.1,0.05,0.0,0.25,6mo,34,18.94
2021-11-26,19.66,19.84,19.47,19.75,49434000,19.65,20.15,-0.5,-0.02,-2.47,6mo,35,18.94
2021-11-29,20.07,20.19,19.49,19.67,68778700,19.57,19.65,-0.08,-0.0,-0.41,6mo,36,18.93
2021-11-30,19.62,19.95,19.03,19.19,103238400,19.09,19.57,-0.48,-0.02,-2.44,6mo,37,18.92
2021-12-01,19.63,20.47,19.53,19.58,125295600,19.48,19.09,0.39,0.02,2.03,6mo,38,18.92
2021-12-02,19.5,20.11,19.28,19.87,94142300,19.77,19.48,0.29,0.01,1.48,6mo,39,18.91
2021-12-03,20.37,20.4,18.93,19.14,120275200,19.04,19.77,-0.73,-0.04,-3.67,6mo,40,18.91
2021-12-06,19.23,19.49,18.61,19.22,88147400,19.12,19.04,0.08,0.0,0.42,6mo,41,18.9
2021-12-07,19.65,20.06,19.52,19.96,75885600,19.86,19.12,0.74,0.04,3.85,6mo,42,18.89
2021-12-08,20.18,20.19,19.75,19.81,63246800,19.71,19.86,-0.15,-0.01,-0.75,6mo,43,18.89
2021-12-09,19.76,19.93,19.54,19.57,63357600,19.47,19.71,-0.24,-0.01,-1.21,6mo,44,18.88
2021-12-10,19.77,21.49,19.76,21.45,169657200,21.34,19.47,1.87,0.1,9.61,6mo,45,18.87
2021-12-13,21.24,21.3,20.13,20.43,126632300,20.33,21.34,-1.01,-0.05,-4.76,6mo,46,18.87
2021-12-14,19.8,20.18,19.38,20.05,124559700,19.95,20.33,-0.38,-0.02,-1.86,6mo,47,18.86
2021-12-15,19.99,20.33,19.55,20.19,79679700,20.09,19.95,0.14,0.01,0.7,6mo,48,18.86
2021-12-16,20.57,21.1,20.26,20.35,107020900,20.25,20.09,0.16,0.01,0.79,6mo,49,18.85
2021-12-17,20.03,20.24,19.6,19.77,98710700,19.67,20.25,-0.58,-0.03,-2.85,6mo,50,18.84
2021-12-20,19.46,19.62,19.05,19.42,74565600,19.32,19.67,-0.35,-0.02,-1.77,6mo,51,18.84
2021-12-21,19.75,19.79,19.33,19.61,58930900,19.51,19.32,0.19,0.01,0.98,6mo,52,18.83
2021-12-22,19.64,20.34,19.64,20.14,75806400,20.04,19.51,0.53,0.03,2.7,6mo,53,18.82
2021-12-23,20.08,20.41,20.0,20.25,50610500,20.15,20.04,0.11,0.01,0.55,6mo,54,18.82
2021-12-27,20.26,20.89,20.1,20.8,59651800,20.69,20.15,0.55,0.03,2.72,6mo,55,18.81
2021-12-28,20.66,21.06,20.59,20.76,53020500,20.65,20.69,-0.04,-0.0,-0.19,6mo,56,18.81
2021-12-29,20.71,20.77,20.45,20.56,37883000,20.45,20.65,-0.2,-0.01,-0.96,6mo,57,18.8
2021-12-30,20.59,20.96,20.47,20.47,51470100,20.37,20.45,-0.09,-0.0,-0.44,6mo,58,18.79
2021-12-31,20.46,21.01,20.46,20.77,51899600,20.66,20.37,0.3,0.01,1.47,6mo,59,18.79
2022-01-03,21.27,21.88,21.06,21.77,110449000,21.66,20.66,0.99,0.05,4.81,6mo,60,18.78
2022-01-04,22.52,24.56,22.42,24.31,311645200,24.19,21.66,2.53,0.12,11.67,6mo,61,18.77
2022-01-05,24.06,24.95,23.47,23.66,253540000,23.54,24.19,-0.65,-0.03,-2.67,6mo,62,18.77
2022-01-06,24.09,24.62,23.36,24.46,155058800,24.33,23.54,0.8,0.03,3.38,6mo,63,18.76
2022-01-07,24.67,24.91,24.04,24.44,127017500,24.31,24.33,-0.02,-0.0,-0.08,6mo,64,18.76
