Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-05,414.0,414.22,406.81,407.24,4443200,404.8,,,,,3mo,0,385.37
2022-01-06,408.56,409.07,403.02,405.76,3315100,403.33,404.8,-1.47,-0.0,-0.36,3mo,1,384.0
2022-01-07,403.36,404.09,392.88,393.61,4520700,391.25,403.33,-12.08,-0.03,-2.99,3mo,2,382.62
2022-01-10,387.4,387.59,380.91,387.46,6440000,385.14,391.25,-6.11,-0.02,-1.56,3mo,3,381.24
2022-01-11,388.07,391.84,384.32,386.67,4385400,384.35,385.14,-0.79,-0.0,-0.2,3mo,4,379.87
2022-01-12,388.29,393.45,386.38,389.4,3623300,387.06,384.35,2.71,0.01,0.71,3mo,5,378.49
2022-01-13,392.51,394.31,385.86,386.98,3466300,384.66,387.06,-2.41,-0.01,-0.62,3mo,6,377.12
2022-01-14,381.33,382.01,371.5,372.0,6336200,369.77,384.66,-14.89,-0.04,-3.87,3mo,7,375.74
2022-01-18,366.1,368.09,360.03,366.72,6435200,364.52,369.77,-5.25,-0.01,-1.42,3mo,8,374.37
2022-01-19,367.18,368.7,359.41,359.69,5175100,357.53,364.52,-6.99,-0.02,-1.92,3mo,9,372.99
2022-01-20,361.33,361.85,349.02,349.58,5440600,347.48,357.53,-10.05,-0.03,-2.81,3mo,10,371.62
2022-01-21,351.72,360.09,347.18,349.1,7718400,347.01,347.48,-0.48,-0.0,-0.14,3mo,11,370.24
2022-01-24,343.78,364.38,343.61,363.81,8584300,361.63,347.01,14.62,0.04,4.21,3mo,12,368.87
2022-01-25,358.14,361.52,352.19,358.98,5536700,356.83,361.63,-4.8,-0.01,-1.33,3mo,13,367.49
2022-01-26,360.0,365.9,354.45,357.28,6103300,355.14,356.83,-1.69,-0.0,-0.47,3mo,14,366.12
2022-01-27,360.43,364.12,353.91,356.43,3941000,354.29,355.14,-0.84,-0.0,-0.24,3mo,15,364.74
2022-01-28,360.17,366.72,352.84,366.54,4551300,364.34,354.29,10.05,0.03,2.84,3mo,16,363.36
2022-01-31,364.81,367.41,362.21,366.98,4084600,364.78,364.34,0.44,0.0,0.12,3mo,17,361.99
2022-02-01,369.47,370.69,362.37,368.7,3406800,366.49,364.78,1.71,0.0,0.47,3mo,18,360.61
2022-02-02,368.38,374.67,367.76,373.73,3839300,371.49,366.49,5.0,0.01,1.36,3mo,19,359.24
2022-02-03,370.19,372.12,363.2,364.81,4009700,362.62,371.49,-8.87,-0.02,-2.39,3mo,20,357.86
2022-02-04,363.5,364.67,354.25,359.67,3728100,357.51,362.62,-5.11,-0.01,-1.41,3mo,21,356.49
2022-02-07,360.26,361.8,355.44,357.35,2809300,355.21,357.51,-2.31,-0.01,-0.65,3mo,22,355.11
2022-02-08,357.35,362.98,354.8,361.44,3225100,359.27,355.21,4.07,0.01,1.14,3mo,23,353.74
2022-02-09,365.31,367.46,363.0,364.37,2777500,362.18,359.27,2.91,0.01,0.81,3mo,24,352.36
2022-02-10,358.84,363.0,352.87,355.09,4291800,352.96,362.18,-9.22,-0.03,-2.55,3mo,25,350.99
2022-02-11,354.69,357.34,348.56,350.29,3308700,348.19,352.96,-4.77,-0.01,-1.35,3mo,26,349.61
2022-02-14,348.0,352.91,346.83,351.56,3654300,349.45,348.19,1.26,0.0,0.36,3mo,27,348.24
2022-02-15,355.56,357.42,351.38,353.26,3552500,351.14,349.45,1.69,0.0,0.48,3mo,28,346.86
2022-02-16,351.5,352.86,345.72,350.09,3594900,347.99,351.14,-3.15,-0.01,-0.9,3mo,29,345.49
2022-02-17,348.99,352.31,347.39,347.94,3927000,345.85,347.99,-2.14,-0.01,-0.61,3mo,30,344.11
2022-02-18,348.39,350.6,344.1,346.87,5526100,344.79,345.85,-1.06,-0.0,-0.31,3mo,31,342.73
2022-02-22,335.09,336.69,312.35,316.17,19752800,314.27,344.79,-30.52,-0.09,-8.85,3mo,32,341.36
2022-02-23,319.32,320.4,307.1,308.45,11026000,306.6,314.27,-7.67,-0.02,-2.44,3mo,33,339.98
2022-02-24,300.0,313.44,299.29,313.24,8416700,311.36,306.6,4.76,0.02,1.55,3mo,34,338.61
2022-02-25,313.18,317.44,307.57,316.65,6510600,314.75,311.36,3.39,0.01,1.09,3mo,35,337.23
2022-02-28,312.97,316.08,310.48,315.83,5733100,313.94,314.75,-0.82,-0.0,-0.26,3mo,36,335.86
2022-03-01,314.59,322.43,313.76,320.25,5640900,318.33,313.94,4.39,0.01,1.4,3mo,37,334.48
2022-03-02,321.06,331.19,319.68,327.37,5645600,325.41,318.33,7.08,0.02,2.22,3mo,38,333.11
2022-03-03,329.19,330.68,322.83,324.36,3858400,322.41,325.41,-2.99,-0.01,-0.92,3mo,39,331.73
2022-03-04,322.21,326.66,319.51,324.26,3630900,322.31,322.41,-0.1,-0.0,-0.03,3mo,40,330.36
2022-03-07,324.26,329.6,320.11,322.77,4670000,320.83,322.31,-1.48,-0.0,-0.46,3mo,41,328.98
2022-03-08,319.75,328.49,315.95,316.74,5092500,314.84,320.83,-5.99,-0.02,-1.87,3mo,42,327.61
2022-03-09,320.0,322.46,316.92,317.2,4443600,317.2,314.84,2.36,0.01,0.75,3mo,43,326.23
2022-03-10,314.36,318.26,308.75,317.94,3895200,317.94,317.2,0.74,0.0,0.23,3mo,44,324.86
2022-03-11,319.28,321.79,316.23,316.79,2972700,316.79,317.94,-1.15,-0.0,-0.36,3mo,45,323.48
2022-03-14,322.91,324.0,316.21,318.36,3604200,318.36,316.79,1.57,0.0,0.5,3mo,46,322.1
2022-03-15,320.35,330.18,320.33,328.54,3775300,328.54,318.36,10.18,0.03,3.2,3mo,47,320.73
2022-03-16,331.58,333.95,324.23,330.91,3942400,330.91,328.54,2.37,0.01,0.72,3mo,48,319.35
2022-03-17,329.14,336.36,327.84,336.36,3123200,336.36,330.91,5.45,0.02,1.65,3mo,49,317.98
2022-03-18,333.63,340.74,332.31,340.74,9408000,340.74,336.36,4.38,0.01,1.3,3mo,50,316.6
2022-03-21,338.04,340.69,327.08,329.37,4521200,329.37,340.74,-11.37,-0.03,-3.34,3mo,51,315.23
2022-03-22,329.32,331.3,324.01,329.73,4852800,329.73,329.37,0.36,0.0,0.11,3mo,52,313.85
2022-03-23,326.9,328.19,315.85,317.05,5207700,317.05,329.73,-12.68,-0.04,-3.85,3mo,53,312.48
2022-03-24,317.15,319.4,314.3,315.78,4599900,315.78,317.05,-1.27,-0.0,-0.4,3mo,54,311.1
2022-03-25,318.48,318.8,308.3,310.68,5176500,310.68,315.78,-5.1,-0.02,-1.62,3mo,55,309.73
2022-03-28,311.0,314.35,309.23,314.28,3936600,314.28,310.68,3.6,0.01,1.16,3mo,56,308.35
2022-03-29,316.91,321.0,312.92,317.71,5306100,317.71,314.28,3.43,0.01,1.09,3mo,57,306.98
2022-03-30,313.11,315.24,306.1,308.46,7223800,308.46,317.71,-9.25,-0.03,-2.91,3mo,58,305.6
2022-03-31,306.21,307.96,298.89,299.33,11044600,299.33,308.46,-9.13,-0.03,-2.96,3mo,59,304.23
2022-04-01,300.5,303.37,298.9,301.89,5553800,301.89,299.33,2.56,0.01,0.86,3mo,60,302.85
2022-04-04,301.49,306.48,299.57,305.58,4659500,305.58,301.89,3.69,0.01,1.22,3mo,61,301.47
