Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2008-03-17,14.88,17.25,13.75,16.09,907471200.0,14.61,,,,,1wk
2008-03-24,16.81,16.92,14.75,15.69,344274800.0,14.25,14.61,-0.36,-0.02,-2.47,1wk
2008-03-31,15.65,16.57,15.08,16.12,263666800.0,14.64,14.25,0.39,0.03,2.74,1wk
2008-04-07,16.27,17.18,16.0,16.53,179345200.0,15.01,14.64,0.37,0.03,2.53,1wk
2008-04-14,16.67,17.61,16.0,17.25,204027600.0,15.67,15.01,0.66,0.04,4.37,1wk
2008-04-21,17.37,19.02,17.21,18.77,283072000.0,17.05,15.67,1.38,0.09,8.84,1wk
2008-04-28,19.12,21.91,17.75,20.69,730413600.0,18.79,17.05,1.74,0.1,10.19,1wk
2008-05-05,20.71,22.46,20.2,20.72,433903600.0,18.81,18.79,0.02,0.0,0.13,1wk
2008-05-12,20.91,21.12,19.52,20.59,322877200.0,18.7,18.81,-0.11,-0.01,-0.59,1wk
2008-05-19,20.57,21.18,18.78,19.09,255486800.0,17.34,18.7,-1.37,-0.07,-7.31,1wk
2008-05-26,19.23,21.89,18.59,21.59,288401600.0,19.61,17.34,2.27,0.13,13.11,1wk
2008-06-02,21.55,22.02,20.89,20.91,194759600.0,18.99,19.61,-0.62,-0.03,-3.14,1wk
2008-06-09,21.0,21.24,19.4,20.38,213579600.0,18.51,18.99,-0.48,-0.03,-2.53,1wk
2008-06-16,20.37,21.25,20.27,20.89,180857600.0,18.97,18.51,0.46,0.03,2.5,1wk
2008-06-23,20.96,21.1,19.5,20.65,383329600.0,18.75,18.97,-0.22,-0.01,-1.16,1wk
2008-06-30,20.5,20.71,19.31,19.52,156765600.0,17.73,18.75,-1.03,-0.05,-5.48,1wk
2008-07-07,19.62,19.99,18.06,18.64,338520000.0,16.93,17.73,-0.8,-0.05,-4.51,1wk
2008-07-14,19.02,19.05,16.63,18.35,333298000.0,16.67,16.93,-0.26,-0.02,-1.54,1wk
2008-07-21,18.48,18.75,16.98,17.99,243604400.0,16.34,16.67,-0.33,-0.02,-1.96,1wk
2008-07-28,18.1,19.73,17.56,17.93,371433200.0,16.29,16.34,-0.05,-0.0,-0.32,1wk
2008-08-04,17.94,18.56,17.28,18.15,198166400.0,16.48,16.29,0.2,0.01,1.21,1wk
2008-08-11,18.11,19.13,17.99,18.95,170790800.0,17.21,16.48,0.72,0.04,4.39,1wk
2008-08-13,,,,,,,17.21,,,,1wk
2008-08-18,18.91,19.06,18.3,18.52,101574400.0,16.85,,,,,1wk
2008-08-25,18.38,19.0,18.21,18.98,101916000.0,17.26,16.85,0.41,0.02,2.44,1wk
2008-09-01,19.21,19.38,17.31,17.94,143586000.0,16.32,17.26,-0.94,-0.05,-5.45,1wk
2008-09-08,18.38,18.57,16.66,17.91,225860800.0,16.29,16.32,-0.03,-0.0,-0.15,1wk
2008-09-15,17.17,17.79,14.6,17.39,342998400.0,15.82,16.29,-0.47,-0.03,-2.9,1wk
2008-09-22,17.23,17.25,15.2,15.51,189668800.0,14.11,15.82,-1.71,-0.11,-10.82,1wk
2008-09-29,15.07,15.52,13.97,14.21,237785200.0,12.92,14.11,-1.18,-0.08,-8.38,1wk
2008-10-06,13.35,14.11,11.75,13.0,353496000.0,11.82,12.92,-1.1,-0.09,-8.52,1wk
2008-10-13,13.75,15.53,12.01,13.06,270436000.0,11.87,11.82,0.05,0.0,0.42,1wk
2008-10-20,13.33,13.45,10.94,11.99,193973600.0,10.91,11.87,-0.96,-0.08,-8.12,1wk
2008-10-27,11.75,14.04,11.61,13.84,271618000.0,12.59,10.91,1.68,0.15,15.36,1wk
2008-11-03,13.98,15.11,12.69,13.38,230020000.0,12.16,12.59,-0.42,-0.03,-3.34,1wk
