Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,143.86,144.79,143.2,143.46,1323730,143.46,,,,,1hr
2022-01-03 10:30:00,143.46,143.89,143.01,143.68,1102319,143.68,143.46,0.22,0.0,0.15,1hr
2022-01-03 11:30:00,143.66,144.04,143.41,143.9,579709,143.9,143.68,0.22,0.0,0.15,1hr
2022-01-03 12:30:00,143.9,143.98,143.46,143.95,403061,143.95,143.9,0.04,0.0,0.03,1hr
2022-01-03 13:30:00,143.95,144.61,143.77,144.39,572278,144.39,143.95,0.44,0.0,0.31,1hr
2022-01-03 14:30:00,144.38,144.64,143.9,144.33,657922,144.33,144.39,-0.06,-0.0,-0.04,1hr
2022-01-03 15:30:00,144.32,144.77,144.27,144.65,849800,144.65,144.33,0.32,0.0,0.22,1hr
2022-01-04 09:30:00,144.11,145.14,143.42,143.77,2104016,143.77,144.65,-0.88,-0.01,-0.61,1hr
2022-01-04 10:30:00,143.77,143.86,143.07,143.63,1028306,143.63,143.77,-0.14,-0.0,-0.09,1hr
2022-01-04 11:30:00,143.63,143.71,143.13,143.24,595830,143.24,143.63,-0.39,-0.0,-0.27,1hr
2022-01-04 12:30:00,143.25,143.33,142.52,142.52,823893,142.52,143.24,-0.72,-0.0,-0.5,1hr
2022-01-04 13:30:00,142.52,142.61,141.76,141.9,1109423,141.9,142.52,-0.62,-0.0,-0.44,1hr
2022-01-04 14:30:00,141.9,142.69,141.82,142.67,1960511,142.67,141.9,0.77,0.01,0.54,1hr
2022-01-04 15:30:00,142.67,142.74,141.93,141.94,1413224,141.94,142.67,-0.73,-0.01,-0.51,1hr
2022-01-05 09:30:00,142.85,144.75,142.74,144.73,1940678,144.73,141.94,2.79,0.02,1.97,1hr
2022-01-05 10:30:00,144.73,145.95,144.68,145.35,2454684,145.35,144.73,0.62,0.0,0.43,1hr
2022-01-05 11:30:00,145.35,145.57,144.83,145.14,972382,145.14,145.35,-0.21,-0.0,-0.14,1hr
2022-01-05 12:30:00,145.15,145.27,144.59,144.78,756143,144.78,145.14,-0.36,-0.0,-0.25,1hr
2022-01-05 13:30:00,144.76,144.84,144.09,144.43,706844,144.43,144.78,-0.35,-0.0,-0.24,1hr
2022-01-05 14:30:00,144.43,144.9,143.97,144.14,1457711,144.14,144.43,-0.29,-0.0,-0.2,1hr
2022-01-05 15:30:00,144.14,144.26,143.84,143.92,1724780,143.92,144.14,-0.22,-0.0,-0.15,1hr
2022-01-06 09:30:00,143.62,144.58,142.4,144.52,1814108,144.52,143.92,0.6,0.0,0.42,1hr
2022-01-06 10:30:00,144.54,144.64,143.31,143.53,860974,143.53,144.52,-0.99,-0.01,-0.69,1hr
2022-01-06 11:30:00,143.55,144.0,142.89,143.3,787962,143.3,143.53,-0.23,-0.0,-0.16,1hr
2022-01-06 12:30:00,143.31,143.68,143.19,143.34,576105,143.34,143.3,0.04,0.0,0.03,1hr
2022-01-06 13:30:00,143.34,143.87,143.24,143.79,531499,143.79,143.34,0.45,0.0,0.31,1hr
2022-01-06 14:30:00,143.79,144.11,143.56,143.57,726286,143.57,143.79,-0.21,-0.0,-0.15,1hr
2022-01-06 15:30:00,143.57,143.8,143.43,143.51,1019779,143.51,143.57,-0.06,-0.0,-0.04,1hr
2022-01-07 09:30:00,143.5,143.98,143.09,143.63,700276,143.63,143.51,0.12,0.0,0.09,1hr
2022-01-07 10:30:00,143.62,143.9,142.96,143.22,680083,143.22,143.63,-0.41,-0.0,-0.29,1hr
